"categories","Star1rvws","Star2rvws","Star3rvws","Star4rvws","Star5rvws","attributes.Noise.Level","latitude","longitude","stars","business_id","name","clstr","Businessid","Cluster","ttlRelSuck","ClusterRank"
"['Arts & Entertainment', 'Resorts', 'Casinos', 'Event Planning & Services', 'Hotels & Travel', 'Hotels']",89,141,239,141,22,"",36.0987324905,-115.174725631,2.5,"G0nUhYF2q4tnoOPwCjXLig","Excalibur Hotel",5,"G0nUhYF2q4tnoOPwCjXLig",5,4756.47339498384,3
"['Korean', 'Barbeque', 'Restaurants']",5,15,48,142,131,"average",36.0471471941,-115.24373889,4,"G6mZKMiDqHDgH92IOg9QhQ","Soyo Korean Barstaurant",6,"G6mZKMiDqHDgH92IOg9QhQ",6,1026.31314231731,2
"['Asian Fusion', 'Restaurants']",11,37,69,148,93,"loud",36.121458,-115.169611,3.5,"gGeVLZ9j_wAYKbaqgnKSJA","Tao Asian Bistro",5,"gGeVLZ9j_wAYKbaqgnKSJA",5,9816.85968972446,26
"['Seafood', 'Sushi Bars', 'Restaurants']",21,27,77,103,106,"average",36.0895286798,-115.137993813,3.5,"ggoYlZeQhATwb_yGSntfdw","RM Seafood",3,"ggoYlZeQhATwb_yGSntfdw",3,1259.57976643038,8
"['Steakhouses', 'Restaurants']",7,21,28,94,164,"average",36.1666763,-115.2870302,4,"GGyHZtnAA5LBgouB-32ARA","Echo & Rig",1,"GGyHZtnAA5LBgouB-32ARA",1,1113.2671787902,6
"['Indian', 'Restaurants']",7,13,29,114,109,"average",36.1148754728,-115.147404671,4,"gkWEjZIVcrUerEzed6IKpg","Mint Indian Bistro",3,"gkWEjZIVcrUerEzed6IKpg",3,1335.63172892436,10
"['Casinos', 'Arts & Entertainment', 'American (Traditional)', 'Buffets', 'Restaurants']",30,75,94,97,33,"average",36.0919388468,-115.176587105,3,"Gn7bMxhZgY0bivsthvJWJQ","Bayside Buffet at Mandalay Bay",5,"Gn7bMxhZgY0bivsthvJWJQ",5,9336.90457579796,21
"['Korean', 'Asian Fusion', 'Mexican', 'Restaurants']",8,22,56,167,336,"average",36.179939,-115.206417,4.5,"H_SuH7uLiYahDMbNBB9kog","KoMex Fusion",4,"H_SuH7uLiYahDMbNBB9kog",4,335.542608955503,1
"['Seafood', 'American (New)', 'Restaurants']",14,29,71,99,55,"average",36.105982,-115.169191,3.5,"H6CJflwclNpttYrtsBMsVg","Emeril's New Orleans Fish House",5,"H6CJflwclNpttYrtsBMsVg",5,10338.4732977285,32
"['Steakhouses', 'American (New)', 'Restaurants']",14,43,68,190,290,"average",36.103053,-115.167691,4,"HbUQ_3dlm3uCacmhTEMnuA","Tom Colicchio's Craftsteak",5,"HbUQ_3dlm3uCacmhTEMnuA",5,11448.1404924655,54
"['Nightlife', 'Seafood', 'Bars', 'Restaurants']",10,13,30,148,306,"average",36.1429035195,-115.174618522,4.5,"HyfFenprdpIA4rmKu6DW3g","Oyster Bar",7,"HyfFenprdpIA4rmKu6DW3g",7,1178.75524601733,10
"['Restaurants', 'Pizza', 'Italian']",5,19,35,120,131,"average",36.115274,-115.223604,4,"i3ogCoQD4MY_sR73GCk-BA","Nora's Cuisine",2,"i3ogCoQD4MY_sR73GCk-BA",2,2484.02340422351,24
"['Bars', 'American (Traditional)', 'Nightlife', 'Restaurants']",23,51,145,165,60,"loud",36.115606,-115.172601,3.5,"iXA8Y2bzvZo8MjALfZxrIg","Margaritaville",5,"iXA8Y2bzvZo8MjALfZxrIg",5,8788.14535222306,15
"['Vegetarian', 'Bars', 'American (New)', 'Nightlife', 'Restaurants']",10,31,82,273,153,"average",36.068926,-115.178028,4,"j_pce4pG9krrBeYwUni8Pg","Yard House",6,"j_pce4pG9krrBeYwUni8Pg",6,1138.6330763183,10
"['Delis', 'American (New)', 'Sandwiches', 'Restaurants']",20,64,108,135,52,"loud",36.1215488944,-115.174516439,3,"J4qLz0nGzCTMf6-kf_SiQg","Carnegie",5,"J4qLz0nGzCTMf6-kf_SiQg",5,7889.06453959546,12
"['Food', 'Desserts', 'American (Traditional)', 'Restaurants']",18,50,184,448,222,"average",36.1222764411,-115.17012246,4,"jOuERtVf7QePnK9ZcdH5XA","Grand Lux Cafe",5,"jOuERtVf7QePnK9ZcdH5XA",5,11053.5146274231,46
"['Burgers', 'Restaurants']",5,28,53,122,67,"average",36.1275873964,-115.168215141,4,"k8bSp5BfCNCKqTXcKALXtw","Stripburger",5,"k8bSp5BfCNCKqTXcKALXtw",5,10033.0571071171,29
"['Hotels & Travel', 'Arts & Entertainment', 'Casinos', 'Event Planning & Services', 'Hotels']",47,48,127,213,101,"very_loud",36.1089964,-115.1536602,3,"kEC7OlpPnZRxCUyVwq7hig","Hard Rock Hotel & Casino",3,"kEC7OlpPnZRxCUyVwq7hig",3,951.834864375531,2
"['Ramen', 'Japanese', 'Restaurants']",7,12,41,150,156,"average",36.1265262,-115.2017756,4,"kgt13cwkP03NS8FJKgdLMw","Ramen Sora",2,"kgt13cwkP03NS8FJKgdLMw",2,2346.48059675061,18
"['Casinos', 'Arts & Entertainment', 'American (Traditional)', 'American (New)', 'Restaurants']",85,105,95,69,24,"average",36.0998077393,-115.167503357,2.5,"KJnVuzpveyDrHARVNZaYVg","Hooters Casino Hotel",5,"KJnVuzpveyDrHARVNZaYVg",5,3440.82883033034,1
"['Bars', 'Mediterranean', 'Nightlife', 'Restaurants']",13,40,76,201,162,"average",36.111978,-115.17698,4,"KjymOs12Mpy0Kd54b7T9MA","Olives",5,"KjymOs12Mpy0Kd54b7T9MA",5,12632.3215353854,79
"['Food', 'Desserts', 'American (Traditional)', 'Restaurants']",14,24,88,211,89,"average",36.123618,-115.17033,4,"kwEQ3uY9Jwmknb5kNg3UlA","Grand Lux Cafe",5,"kwEQ3uY9Jwmknb5kNg3UlA",5,11431.4451158383,53
"['Vegetarian', 'Thai', 'Vegan', 'Restaurants']",12,14,33,94,130,"average",36.1425239406,-115.142526297,4,"KwLfgeylp9d8zY3KacREiw","Komol Restaurant",7,"KwLfgeylp9d8zY3KacREiw",7,1101.02666741529,7
"['Breakfast & Brunch', 'American (Traditional)', 'Restaurants']",13,28,69,157,209,"average",36.2037425,-115.2598768,4,"LCeF1wK5OqP3PPEVBa5Xfw","BabyStacks Cafe",4,"LCeF1wK5OqP3PPEVBa5Xfw",4,381.322888518666,2
"['Seafood', 'Steakhouses', 'Restaurants']",8,30,46,155,242,"average",36.1174528,-115.1766881,4,"LLDGTT7FExklkQvHebEjRg","Joe's Seafood Prime Steak & Stone Crab",5,"LLDGTT7FExklkQvHebEjRg",5,12167.9555210237,71
"['Thai', 'Restaurants']",23,53,146,319,447,"average",36.1435662636,-115.142826221,4,"lliksv-tglfUz1T3B3vgvA","Lotus of Siam",7,"lliksv-tglfUz1T3B3vgvA",7,837.34594595865,3
"['Cajun/Creole', 'Restaurants']",11,24,41,120,99,"average",36.1586702,-115.1583024,4,"Lp-A-JNRUUH72uou5-pMtQ","Lola's",7,"Lp-A-JNRUUH72uou5-pMtQ",7,1151.01488362077,9
"['Sushi Bars', 'Restaurants']",32,44,71,167,140,"average",36.047306,-115.244158,3.5,"lPh02W25cOrAz57UbTpbFQ","Oyshi Sushi",6,"lPh02W25cOrAz57UbTpbFQ",6,946.27290768436,1
"['Sushi Bars', 'Japanese', 'Restaurants']",13,40,85,110,34,"average",36.1397449251,-115.168417291,3.5,"Lq6CDJ2yHmMs4N7jscQhHQ","RA Sushi Bar Restaurant",7,"Lq6CDJ2yHmMs4N7jscQhHQ",7,843.079854614722,4
"['Tapas Bars', 'Restaurants', 'Italian']",15,18,43,116,120,"average",36.144269,-115.191825,4,"LXrq0Fw6MCz70KMA928ldQ","Herbs & Rye",2,"LXrq0Fw6MCz70KMA928ldQ",2,2354.81234075799,19
"['Arts & Entertainment', 'Music Venues', 'Restaurants', 'Hotels', 'Event Planning & Services', 'Hotels & Travel', 'American (New)', 'Nightlife']",18,39,84,105,50,"very_loud",36.0928664972,-115.175868273,3.5,"M2SjLXsuAy5RNKwxaA5E1g","House of Blues",5,"M2SjLXsuAy5RNKwxaA5E1g",5,6343.91441947633,6
"['Steakhouses', 'Restaurants']",23,25,54,131,258,"average",36.1176319106,-115.174907433,4,"mDdqifuTrfXAOfxiLMGu5Q","Gordon Ramsay Steak",5,"mDdqifuTrfXAOfxiLMGu5Q",5,11662.2928402404,64
"['Pizza', 'Restaurants']",8,16,36,118,169,"average",36.1718303,-115.1420069,4.5,"MN0OLvP8i0SirMJ7AMuMzA","Pizza Rock",7,"MN0OLvP8i0SirMJ7AMuMzA",7,1192.06876848078,12
"['Tapas/Small Plates', 'Restaurants']",17,39,75,126,122,"average",36.0920808497,-115.175111922,3.5,"N50HceZf1595UtU867u4uQ","Fleur by Hubert Keller",5,"N50HceZf1595UtU867u4uQ",5,11505.7924214056,58
"['Bars', 'Steakhouses', 'Nightlife', 'Lounges', 'Restaurants']",9,18,42,94,167,"average",36.1243782644,-115.16876318,4,"naLrErBuJr9IWd6_rv6-XQ","CUT",5,"naLrErBuJr9IWd6_rv6-XQ",5,11629.3165628776,61
"['Buffets', 'Restaurants']",29,84,158,281,121,"average",36.1178899374,-115.189394611,3.5,"ngNvH4sxnH9aMukTZ67R_Q","Carnival World Buffet",2,"ngNvH4sxnH9aMukTZ67R_Q",2,2021.22487579819,7
"['Burgers', 'Fast Food', 'Restaurants']",23,50,72,112,69,"average",36.0113116,-115.1747074,3.5,"npfVfumxVAkQNYpY1fSvew","Steak 'n Shake",8,"npfVfumxVAkQNYpY1fSvew",8,508.50965224732,2
"['Bars', 'Asian Fusion', 'Nightlife', 'Restaurants']",15,34,116,199,164,"average",36.1239774361,-115.167756725,4,"NsnZ5GhagXBKrCOelxVQxw","SUSHISAMBA - Las Vegas",5,"NsnZ5GhagXBKrCOelxVQxw",5,12130.3772319636,70
"['French', 'Restaurants']",9,29,59,115,81,"average",36.1097544,-115.1738726,3.5,"NxsCqQCpofRx08m535JYIA","Comme Ça",5,"NxsCqQCpofRx08m535JYIA",5,12269.2593443128,74
"['Breakfast & Brunch', 'Bars', 'American (New)', 'Nightlife', 'Restaurants']",49,62,98,103,47,"average",36.1120152614,-115.172531605,3,"nZgYNbl1XlZyyKlISMoG6w","Sugar Factory American Brasserie",5,"nZgYNbl1XlZyyKlISMoG6w",5,9470.42035479265,24
"['American (New)', 'Mediterranean', 'Restaurants']",4,14,32,91,180,"average",36.1075773939,-115.176501274,4,"OiCxoAIoBvEWxf7p1qVVmA","Sage",5,"OiCxoAIoBvEWxf7p1qVVmA",5,13548.1582105219,82
"['Thai', 'Restaurants']",15,13,30,114,86,"average",36.073115,-115.243698,4,"olwuTiAEEFgSYefWUcZWbQ","Archi's Thai Bistro",6,"olwuTiAEEFgSYefWUcZWbQ",6,1062.02212057147,7
"['Lounges', 'Bars', 'Nightlife', 'Dance Clubs']",54,53,97,96,60,"very_loud",36.1147619,-115.1729315,2.5,"OoeTGTkxvSZqqicZ8ljJjw","Hakkasan Nightclub",5,"OoeTGTkxvSZqqicZ8ljJjw",5,7557.95603341927,11
